0.872502, 0.963682, 0.00638793, -8.39962e-016, -2.31986e-009, 1.18645e-010
0.86924, 0.960268, 0.00639514, -1.08843e-014, -8.47487e-009, 4.37518e-010
0.866989, 0.960016, 0.00640076, 2.9254e-018, -1.1416e-010, 9.14755e-012
0.858436, 0.95881, 0.00641364, -2.76573e-018, -1.74555e-010, 9.58931e-012
0.860052, 0.957154, 0.00641399, 6.60392e-019, -2.69712e-010, 1.58504e-011
0.84378, 0.958206, 0.00641511, -3.41062e-017, -5.6892e-010, 3.12998e-011
0.856026, 0.957761, 0.00641752, -6.52642e-016, -2.04901e-009, 1.05259e-010
0.880515, 0.957351, 0.00640185, -1.1592e-016, -8.79661e-010, 4.5628e-011
0.85934, 0.956375, 0.00641741, -7.85728e-017, -7.36736e-010, 3.86905e-011
0.867897, 0.958406, 0.00641054, 4.32551e-018, -4.84592e-010, 2.96602e-011
0.865775, 0.959904, 0.00640171, -7.94031e-016, -2.28583e-009, 1.17924e-010
0.867888, 0.956535, 0.0064096, -3.20744e-016, -1.55465e-009, 8.33945e-011
0.850981, 0.95694, 0.00641734, -4.70156e-016, -1.96888e-009, 1.05069e-010
0.865513, 0.959089, 0.00640692, -1.89305e-017, -4.12743e-010, 2.25457e-011
